code,descr,lang_code,is_active,cr_by,cr_dtimes
auth-email-content,Template for authorization content,eng,TRUE,superadmin,now()
auth-email-subject,Template for authorization subject,eng,TRUE,superadmin,now()
auth-sms,Template for authorization SMS,eng,TRUE,superadmin,now()
ida-auth-otp-email-content-template,Template for Email Content,eng,TRUE,superadmin,now()
ida-auth-otp-email-subject-template,Template for Email Subject,eng,TRUE,superadmin,now()
ida-auth-otp-sms-template,Template for OTP in SMS ,eng,TRUE,superadmin,now()
RPR_DUP_UIN_EMAIL,Template for duplicate UIN Email,eng,TRUE,superadmin,now()
RPR_DUP_UIN_SMS,Template for duplicate UIN SMS,eng,TRUE,superadmin,now()
RPR_TEC_ISSUE_EMAIL,Template for Technical Issue Email,eng,TRUE,superadmin,now()
RPR_TEC_ISSUE_SMS,Template for Technical Issue SMS,eng,TRUE,superadmin,now()
RPR_UIN_GEN_EMAIL,Template for UIN generation Email,eng,TRUE,superadmin,now()
RPR_UIN_GEN_SMS,Template for UIN generation SMS,eng,TRUE,superadmin,now()
RPR_UIN_UPD_EMAIL,Template for update details Email,eng,TRUE,superadmin,now()
RPR_UIN_UPD_SMS,Template for update Details SMS,eng,TRUE,superadmin,now()
NewReg-email-content-template,Template for new registration Email Content,eng,TRUE,superadmin,now()
NewReg-email-subject-template,Template for new registration Email Subject,eng,TRUE,superadmin,now()
NewReg-sms-template,Template for new registration SMS,eng,TRUE,superadmin,now()
OTP-email-content-template,Template for OTP generation Email Content,eng,TRUE,superadmin,now()
OTP-email-subject-template,Template for OTP generation Email Subject,eng,TRUE,superadmin,now()
OTP-sms-template,Template for OTP SMS,eng,TRUE,superadmin,now()
Update-email-content-template,Template for update registration Email Content,eng,TRUE,superadmin,now()
Update-email-subject-template,Template for update registration Email Subject,eng,TRUE,superadmin,now()
Update-sms-template,Template for update registration SMS,eng,TRUE,superadmin,now()
Email-Acknowledgement,Template for Email Acknowledgement,eng,TRUE,superadmin,now()
Onscreen-Acknowledgement,Template for Onscreen Acknowledgment,eng,TRUE,superadmin,now()
otp-email-content-template,Template for OTP Email Content,eng,TRUE,superadmin,now()
otp-email-subject-template,Template for OTP Email Subject,eng,TRUE,superadmin,now()
otp-sms-template,Template for OTP SMS,eng,TRUE,superadmin,now()
